Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;Keysiht MC

Series
;R positive (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R positive (1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance [Ohm]

;R negative (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R negative (1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for R positive (1V) [Ohm];Y data for R positive (1V) [Ohm];X data for R negative (1V) [Ohm];Y data for R negative (1V) [Ohm];
;0;0;2240946.57583363;0;2240866.22924958;
;1;1.20748332934454;2240258.79469596;1.20748332934454;2240022.93783488;
;2;2.47121666790918;2239345.75274488;2.47121666790918;2238884.49818762;
;3;3.6818833288271;2238107.81412962;3.6818833288271;2237912.47524309;
;4;4.89259999827482;2235721.00884675;4.89259999827482;2235341.19130273;
;5;6.10626666806638;2231186.63429959;6.10626666806638;2230415.28102117;
;6;7.32259999844246;2223299.28721025;7.32259999844246;2221896.34409176;
;7;8.52688333718106;2211097.94279447;8.52688333718106;2209705.46835812;
;8;9.74163333652541;2193684.82013978;9.74163333652541;2191439.79786159;
;9;10.9533499984536;2170280.18317165;10.9533499984536;2167565.84523146;
;10;12.1645999979228;2140470.51822932;12.1645999979228;2136674.52250666;
;11;13.3806499990169;2103080.38183527;13.3806499990169;2098842.90790487;
;12;14.5937333302572;2059121.49640477;14.5937333302572;2053805.59908482;
;13;15.8049999992363;2008128.90581072;15.8049999992363;2002150.30943233;
;14;17.017949995352;1950777.97025454;17.017949995352;1943774.38221991;
;15;18.2208499952685;1887725.63040597;18.2208499952685;1880148.08046282;
;16;19.4295666692778;1819197.2610166;19.4295666692778;1811026.61665819;
;17;20.6417666631751;1745706.43502306;20.6417666631751;1737009.77241698;
;18;21.8439333303832;1669318.10024923;21.8439333303832;1659968.69299045;
;19;23.0566666647792;1589168.22934876;23.0566666647792;1579249.91945825;
;20;24.2649166658521;1507347.56570905;24.2649166658521;1497039.60418273;
;21;25.4737166664563;1424345.19290619;25.4737166664563;1413781.25693636;
;22;26.6806833352894;1341266.47745868;26.6806833352894;1330505.56550478;
;23;27.8867999953218;1258713.44381481;27.8867999953218;1247894.17857366;
;24;29.0924333338626;1177383.4066647;29.0924333338626;1166579.36764399;
;25;30.2950833330397;1098085.37833434;30.2950833330397;1087309.8974558;
;26;31.4937000023201;1021481.76144315;31.4937000023201;1010911.78177245;
;27;32.6955833297689;947547.557411907;32.6955833297689;937251.042691785;
;28;33.9011500007473;876738.462779384;33.9011500007473;866618.713764505;
;29;35.1043000014033;809544.202327763;35.1043000014033;799756.234299785;
;30;36.3085500011221;745964.147471144;36.3085500011221;736576.084994988;
