Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;4 point R [Ohm]

Series
;4wR_fwd [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;4wR_fwd [Ohm] Y-expression: $N16.M4
;Assigned to Axis: Resistance [Ohm]

;4wR_rev [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;4wR_rev [Ohm] Y-expression: $N17.DF1
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for 4wR_fwd [Ohm];Y data for 4wR_fwd [Ohm];X data for 4wR_rev [Ohm];Y data for 4wR_rev [Ohm];
;0;0;2258938;0;2240144;
;1;1.20748332934454;2257562;1.20748332934454;2239304;
;2;2.47121666790918;2257062;2.47121666790918;2238487;
;3;3.6818833288271;2256478;3.6818833288271;2237594;
;4;4.89259999827482;2254737;4.89259999827482;2236204;
;5;6.10626666806638;2251509;6.10626666806638;2232866;
;6;7.32259999844246;2245740;7.32259999844246;2227089;
;7;8.52688333718106;2235967;8.52688333718106;2217194;
;8;9.74163333652541;2221557;9.74163333652541;2202811;
;9;10.9533499984536;2201106;10.9533499984536;2182632;
;10;12.1645999979228;2174599;12.1645999979228;2156213;
;11;13.3806499990169;2140833;13.3806499990169;2123118;
;12;14.5937333302572;2099795;14.5937333302572;2082588;
;13;15.8049999992363;2051669;15.8049999992363;2035190;
;14;17.017949995352;1996873;17.017949995352;1981243;
;15;18.2208499952685;1935881;18.2208499952685;1920902;
;16;19.4295666692778;1869270;19.4295666692778;1855340;
;17;20.6417666631751;1797888;20.6417666631751;1784807;
;18;21.8439333303832;1722535;21.8439333303832;1710161;
;19;23.0566666647792;1642913;23.0566666647792;1631380;
;20;24.2649166658521;1561700;24.2649166658521;1550702;
;21;25.4737166664563;1477782;25.4737166664563;1467913;
;22;26.6806833352894;1394019;26.6806833352894;1384904;
;23;27.8867999953218;1310358;27.8867999953218;1302156;
;24;29.0924333338626;1227571;29.0924333338626;1220153;
;25;30.2950833330397;1151304;30.2950833330397;1138626;
;26;31.4937000023201;1075567;31.4937000023201;1060815;
;27;32.6955833297689;1000732;32.6955833297689;985095;
;28;33.9011500007473;928494.8;33.9011500007473;912658.4;
;29;35.1043000014033;858290.8;35.1043000014033;843338.9;
;30;36.3085500011221;791654.4;36.3085500011221;777846.6;
;31;37.505033329362;728842.9;37.505033329362;716566.4;
;32;38.7089833302889;669244.8;38.7089833302889;658580.7;
;33;39.9121500004549;613522.6;39.9121500004549;604474.8;
;34;41.1169666692149;561598.2;41.1169666692149;554023.1;
;35;42.3228666675277;513520.3;42.3228666675277;507274.6;
;36;43.5289499990176;468914.9;43.5289499990176;463846.4;
;37;44.7318499989342;427895.8;44.7318499989342;423816.7;
;38;45.9328499995172;390286.1;45.9328499995172;386984.2;
;39;47.1365000016522;355737.8;47.1365000016522;353090.2;
;40;48.3258166664746;324522.6;48.3258166664746;322366.6;
;41;49.5245166623499;295650.4;49.5245166623499;293910.5;
;42;50.7272833376192;269209.1;50.7272833376192;267806.2;
;43;51.9339499971829;245144.6;51.9339499971829;244024.2;
;44;53.1357833370566;223229.2;53.1357833370566;222351.7;
;45;54.3393333326094;203402.8;54.3393333326094;202736;
;46;55.5361166701186;185513.8;55.5361166701186;185039.2;
;47;56.7310833348893;169284;56.7310833348893;168969.5;
;48;57.9358333360869;154446.3;57.9358333360869;154289;
;49;59.1389333282132;140952.8;59.1389333282132;140939.9;
;50;60.3386333375238;128804.2;60.3386333375238;128913.2;
;51;61.5423999947961;117643.2;61.5423999947961;117877.3;
;52;62.7413333323784;108155.8;62.7413333323784;107934.5;
;53;63.9450000040233;98743.36;63.9450000040233;98831.02;
;54;65.1485333300661;90250.82;65.1485333300661;90569.45;
;55;66.352200001711;82566.92;66.352200001711;83059.95;
;56;67.5492999970447;75652.23;67.5492999970447;76280.81;
;57;68.7457666662522;69361.83;68.7457666662522;70102.65;
;58;69.9480000010226;63615.41;69.9480000010226;64449.93;
;59;71.1549999983981;58389.32;71.1549999983981;59307.51;
;60;72.3595666664187;53663.38;72.3595666664187;54658.63;
;61;73.5633500036783;49423.4;73.5633500036783;50487.93;
;62;74.768166661961;45608.34;74.768166661961;46732.03;
;63;75.9711666684598;42159.51;75.9711666684598;43338.69;
;64;77.1679833345115;39051.04;77.1679833345115;40279.17;
;65;78.3708333363757;36199.47;78.3708333363757;37474.16;
;66;79.5780666649807;33598.31;79.5780666649807;34914.64;
;67;80.7820500049274;31218.26;80.7820500049274;32574.69;
;68;81.9864333292935;29044.12;81.9864333292935;30437.87;
;69;83.1955000001471;27057.89;83.1955000001471;28484.97;
;70;84.3995499971788;25233.4;84.3995499971788;26692.3;
;71;85.6027166673448;23564.61;85.6027166673448;25054.51;
;72;86.7993999982718;22042.64;86.7993999982718;23559.5;
;73;88.0030999984592;20632.04;88.0030999984592;22175.74;
;74;89.2027833382599;19341.73;89.2027833382599;20908.58;
;75;90.4075000004377;18150.11;90.4075000004377;19740.2;
;76;91.6117833286989;17033.66;91.6117833286989;18644.58;
;77;92.8087999974377;16015.24;92.8087999974377;17644.79;
;78;94.0109666646458;15066.41;94.0109666646458;16713.28;
;79;95.2051000006031;14191.33;95.2051000006031;15853.55;
;80;96.400433331728;13380.1;96.400433331728;15056.4;
;81;97.6065500022378;12615.41;97.6065500022378;14310.32;
;82;98.8039666658733;11914.61;98.8039666658733;13622.67;
;83;100.00923333806;11260.99;100.00923333806;12980.58;
;84;101.211599997478;11446.56;101.211599997478;11577.53;
;85;102.422533328645;10887.39;102.422533328645;11022.36;
;86;103.613216662779;10371.88;103.613216662779;10510.04;
;87;104.816033336101;9887.458;104.816033336101;10029.17;
;88;106.019516664091;9437.946;106.019516664091;9582.608;
;89;107.22846666933;9017.688;107.22846666933;9164.948;
;90;108.433566667372;8624.692;108.433566667372;8774.56;
;91;109.637583335862;8259.786;109.637583335862;8411.833;
;92;110.843750004424;7918.214;110.843750004424;8072.431;
;93;112.048483336112;7597.621;112.048483336112;7753.997;
;94;113.253499997081;7298.972;113.253499997081;7457.041;
;95;114.455866666976;7017.78;114.455866666976;7177.612;
;96;115.663683334133;6754.331;115.663683334133;6915.558;
;97;116.870383332716;6505.584;116.870383332716;6668.135;
;98;118.063699998893;6273.608;118.063699998893;6437.512;
;99;119.270699996268;6053.297;119.270699996268;6218.219;
;100;120.474966665497;5845.578;120.474966665497;6011.474;
;101;121.680799996248;5649.29;121.680799996248;5816.088;
;102;122.882799999788;5464.188;122.882799999788;5631.782;
;103;124.074583332986;5291.371;124.074583332986;5459.555;
;104;125.279616663465;5124.667;125.279616663465;5293.469;
;105;126.481283329194;4967.351;126.481283329194;5136.697;
;106;127.679449995048;4818.957;127.679449995048;4988.598;
;107;128.884466666495;4676.65;128.884466666495;4846.667;
;108;130.081816662569;4541.857;130.081816662569;4712.12;
;109;131.276183329755;4413.328;131.276183329755;4583.798;
;110;132.476149998838;4290.306;132.476149998838;4460.833;
;111;133.678766669473;4172.42;133.678766669473;4342.972;
;112;134.880966665223;4059.462;134.880966665223;4229.947;
;113;136.072183329379;3952.109;136.072183329379;4122.47;
;114;137.276400000555;3847.3;137.276400000555;4017.572;
;115;138.483083329629;3746.209;138.483083329629;3916.209;
;116;139.67806666391;3649.019;139.67806666391;3818.768;
;117;140.870333329076;3554.928;140.870333329076;3724.348;
