Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;Seebeck

Series
;Delta T [C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Delta T [C] Y-expression: (TCS($N7.MV.TT2($N6.M2)))-(TCS($N8.MV.TT2($N6.M2)))
;Assigned to Axis: delta T [°C]

;Thermovoltage forw  [V] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Thermovoltage forw  [V] Y-expression: $N9.DF1
;Assigned to Axis: Thermo voltage [V]

;Seebeck (back thermo) [V/K] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Seebeck (back thermo) [V/K] Y-expression: $N10.DF1/(TCS($N7.MV. TT2($N6.M2))-TCS($N8.MV. TT2($N6.M2)))
;Assigned to Axis: Seebeck [V/K]

;Thermovoltage back [V] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Thermovoltage back [V] Y-expression: $N10.DF1
;Assigned to Axis: Thermo voltage [V]

Data
;Index;X data for Delta T [C];Y data for Delta T [C];X data for Thermovoltage forw  [V];Y data for Thermovoltage forw  [V];X data for Seebeck (back thermo) [V/K];Y data for Seebeck (back thermo) [V/K];X data for Thermovoltage back [V];Y data for Thermovoltage back [V];
;0;0;-0.15592760929459;0;0.0002148847;0;0.000824363309240192;0;-0.000128541;
;1;1.20748332934454;-0.0586519154403291;1.20748332934454;7.673736E-5;1.20748332934454;0.00120993490949495;1.20748332934454;-7.0965E-5;
;2;2.47121666790918;-0.108299632657154;2.47121666790918;3.031053E-5;2.47121666790918;-0.000275199733080824;2.47121666790918;2.980403E-5;
;3;3.6818833288271;-0.088752481910074;3.6818833288271;0.0002146597;3.6818833288271;0.0019716507779163;3.6818833288271;-0.0001749889;
;4;4.89259999827482;-0.126225750619863;4.89259999827482;3.944536E-5;4.89259999827482;0.00074278773974069;4.89259999827482;-9.375894E-5;
;5;6.10626666806638;-0.194981810307166;6.10626666806638;0.0001537885;6.10626666806638;0.000297527958677836;6.10626666806638;-5.801254E-5;
;6;7.32259999844246;-0.119013605976747;7.32259999844246;0.0001600351;7.32259999844246;0.000464501092512071;7.32259999844246;-5.528195E-5;
;7;8.52688333718106;-0.173247268306799;8.52688333718106;0.0001513075;8.52688333718106;0.000614734079451113;8.52688333718106;-0.000106501;
;8;9.74163333652541;-0.159876317522937;9.74163333652541;0.0001544808;9.74163333652541;0.00153669038545846;9.74163333652541;-0.0002456804;
;9;10.9533499984536;-0.13528707543227;10.9533499984536;6.347159E-5;10.9533499984536;0.00115185947735277;10.9533499984536;-0.0001558317;
;10;12.1645999979228;-0.207297707717306;12.1645999979228;0.0002764276;12.1645999979228;0.000696814748173605;12.1645999979228;-0.0001444481;
;11;13.3806499990169;-0.1987473479995;13.3806499990169;0.0001178248;13.3806499990169;0.000455626859485077;13.3806499990169;-9.055463E-5;
;12;14.5937333302572;-0.249274861621796;14.5937333302572;0.0001006279;14.5937333302572;0.000466033755847615;14.5937333302572;-0.0001161705;
;13;15.8049999992363;-0.21575663711933;15.8049999992363;0.0001122452;15.8049999992363;0.000536840959084557;15.8049999992363;-0.000115827;
;14;17.017949995352;-0.178898134131401;17.017949995352;0.0001756813;17.017949995352;0.000631115022793198;17.017949995352;-0.0001129053;
;15;18.2208499952685;-0.177281107934419;18.2208499952685;9.971902E-5;18.2208499952685;0.00032554179445533;18.2208499952685;-5.771241E-5;
;16;19.4295666692778;-0.15104467224845;19.4295666692778;6.811033E-5;19.4295666692778;-8.90284298004297E-5;19.4295666692778;1.344727E-5;
;17;20.6417666631751;-0.156694065172942;20.6417666631751;-5.032871E-5;20.6417666631751;-0.000367857454820524;20.6417666631751;5.764108E-5;
;18;21.8439333303832;-0.0729754872676445;21.8439333303832;-0.0002392296;21.8439333303832;0.00192157812507233;21.8439333303832;-0.0001402281;
;19;23.0566666647792;0.0363640329623465;23.0566666647792;-0.0002600949;23.0566666647792;0.000702292840468047;23.0566666647792;2.55382E-5;
;20;24.2649166658521;0.101475489867465;24.2649166658521;-0.0002657045;24.2649166658521;0.00266431923958304;24.2649166658521;0.0002703631;
;21;25.4737166664563;0.18017160793385;25.4737166664563;-0.0001558468;25.4737166664563;0.00162851685326428;25.4737166664563;0.0002934125;
;22;26.6806833352894;0.391876777133618;26.6806833352894;-0.0002957057;26.6806833352894;0.00131921698392382;26.6806833352894;0.0005169705;
;23;27.8867999953218;0.469881148500029;27.8867999953218;-0.0006648848;27.8867999953218;0.00121792564316924;27.8867999953218;0.0005722803;
;24;29.0924333338626;0.548400857420106;29.0924333338626;-0.0007057835;29.0924333338626;0.00119006159667626;29.0924333338626;0.0006526308;
;25;30.2950833330397;0.725716245637884;30.2950833330397;-0.0006541439;30.2950833330397;0.000969899191634214;30.2950833330397;0.0007038716;
;26;31.4937000023201;0.868750873026578;31.4937000023201;-0.0008604485;31.4937000023201;0.00101193624926936;31.4937000023201;0.0008791205;
;27;32.6955833297689;1.00228184062042;32.6955833297689;-0.001032293;32.6955833297689;0.00104451558191652;32.6955833297689;0.001046899;
;28;33.9011500007473;1.18702920339876;33.9011500007473;-0.0011401;33.9011500007473;0.00105737078448134;33.9011500007473;0.00125513;
;29;35.1043000014033;1.38861053035434;35.1043000014033;-0.001272435;35.1043000014033;0.000998860349738283;35.1043000014033;0.001387028;
;30;36.3085500011221;1.53934499686651;36.3085500011221;-0.001472317;36.3085500011221;0.00103130097751418;36.3085500011221;0.001587528;
;31;37.505033329362;1.79055848062825;37.505033329362;-0.001712221;37.505033329362;0.000973072937214912;37.505033329362;0.001742344;
;32;38.7089833302889;1.92490967712757;38.7089833302889;-0.002025684;38.7089833302889;0.000977374690539993;38.7089833302889;0.001881358;
;33;39.9121500004549;2.14965409091178;39.9121500004549;-0.00202686;39.9121500004549;0.000983307969843389;39.9121500004549;0.002113772;
;34;41.1169666692149;2.42229068832606;41.1169666692149;-0.002259216;41.1169666692149;0.000941647511998759;41.1169666692149;0.002280944;
;35;42.3228666675277;2.62244343265957;42.3228666675277;-0.002440182;42.3228666675277;0.000951890122361335;42.3228666675277;0.002496278;
;36;43.5289499990176;2.85132091684036;43.5289499990176;-0.002675054;43.5289499990176;0.000936437909963081;43.5289499990176;0.002670085;
;37;44.7318499989342;3.03519088957862;44.7318499989342;-0.002864353;44.7318499989342;0.000947261343552318;44.7318499989342;0.002875119;
;38;45.9328499995172;3.3034418781718;45.9328499995172;-0.003050925;45.9328499995172;0.000932102974278472;45.9328499995172;0.003079148;
;39;47.1365000016522;3.44427420593259;47.1365000016522;-0.003223608;47.1365000016522;0.000947550573754719;47.1365000016522;0.003263624;
;40;48.3258166664746;3.67758135894537;48.3258166664746;-0.003411427;48.3258166664746;0.000945209816105018;48.3258166664746;0.003476086;
;41;49.5245166623499;3.92095603692532;49.5245166623499;-0.003627947;49.5245166623499;0.000934028835189859;49.5245166623499;0.003662286;
;42;50.7272833376192;4.15346106175259;50.7272833376192;-0.003831368;50.7272833376192;0.000934646778261102;50.7272833376192;0.003882019;
;43;51.9339499971829;4.36463983582311;51.9339499971829;-0.004029675;51.9339499971829;0.000929360761157749;51.9339499971829;0.004056325;
;44;53.1357833370566;4.67393160128474;53.1357833370566;-0.004226761;53.1357833370566;0.000910269418326649;53.1357833370566;0.004254537;
;45;54.3393333326094;4.82472509622689;54.3393333326094;-0.004416393;54.3393333326094;0.000924814141947575;54.3393333326094;0.004461974;
;46;55.5361166701186;5.08095186574182;55.5361166701186;-0.004622166;55.5361166701186;0.000912682922911916;55.5361166701186;0.004637298;
;47;56.7310833348893;5.33345000183957;56.7310833348893;-0.004807325;56.7310833348893;0.000904747208342753;56.7310833348893;0.004825424;
;48;57.9358333360869;5.53377336344948;57.9358333360869;-0.004983569;57.9358333360869;0.000905508532947302;57.9358333360869;0.005010879;
;49;59.1389333282132;5.77274745064575;59.1389333282132;-0.005156739;59.1389333282132;0.000899550351785979;59.1389333282132;0.005192877;
;50;60.3386333375238;5.9617310354086;60.3386333375238;-0.005340157;60.3386333375238;0.000900673976754133;60.3386333375238;0.005369576;
;51;61.5423999947961;6.1250750630132;61.5423999947961;-0.005508327;61.5423999947961;0.000904871849402845;61.5423999947961;0.005542408;
;52;62.7413333323784;6.40371789057838;62.7413333323784;-0.005678677;62.7413333323784;0.000893552011155693;62.7413333323784;0.005722055;
;53;63.9450000040233;6.60779905046715;63.9450000040233;-0.005859234;63.9450000040233;0.000890930543595118;63.9450000040233;0.00588709;
;54;65.1485333300661;6.8657208339586;65.1485333300661;-0.006032378;65.1485333300661;0.000881117386841376;65.1485333300661;0.006049506;
;55;66.352200001711;7.04175506865138;66.352200001711;-0.006193039;66.352200001711;0.000883657545503314;66.352200001711;0.0062225;
;56;67.5492999970447;7.28183111270724;67.5492999970447;-0.006354165;67.5492999970447;0.000875439144540936;67.5492999970447;0.0063748;
;57;68.7457666662522;7.4547333293805;68.7457666662522;-0.006508937;68.7457666662522;0.000876086066588076;68.7457666662522;0.006530988;
;58;69.9480000010226;7.64225868894762;69.9480000010226;-0.006663168;69.9480000010226;0.000874852876894786;69.9480000010226;0.006685852;
;59;71.1549999983981;7.8815141923334;71.1549999983981;-0.006811411;71.1549999983981;0.000867605745943031;71.1549999983981;0.006838047;
;60;72.3595666664187;8.16380631165703;72.3595666664187;-0.006960753;72.3595666664187;0.000855322840037187;72.3595666664187;0.00698269;
;61;73.5633500036783;8.23339443415396;73.5633500036783;-0.007094092;73.5633500036783;0.00086407897215373;73.5633500036783;0.007114303;
;62;74.768166661961;8.51841734235292;74.768166661961;-0.007222824;74.768166661961;0.000850290929511953;74.768166661961;0.007243133;
;63;75.9711666684598;8.69044626836938;75.9711666684598;-0.007353205;75.9711666684598;0.000848097988572332;75.9711666684598;0.00737035;
;64;77.1679833345115;8.83563782698273;77.1679833345115;-0.007480683;77.1679833345115;0.000848119982590889;77.1679833345115;0.007493681;
;65;78.3708333363757;8.99421277647194;78.3708333363757;-0.007585328;78.3708333363757;0.000846162547978469;78.3708333363757;0.007610566;
;66;79.5780666649807;9.15830912389438;79.5780666649807;-0.007706325;79.5780666649807;0.000842897623957624;79.5780666649807;0.007719517;
;67;80.7820500049274;9.35885617158328;80.7820500049274;-0.007810734;80.7820500049274;0.000836335964192496;80.7820500049274;0.007827148;
;68;81.9864333292935;9.56231420361502;81.9864333292935;-0.007913469;81.9864333292935;0.00082948037798229;81.9864333292935;0.007931752;
;69;83.1955000001471;9.68863678831403;83.1955000001471;-0.008008322;83.1955000001471;0.000828754981266798;83.1955000001471;0.008029506;
;70;84.3995499971788;9.86522206393804;84.3995499971788;-0.008107094;84.3995499971788;0.000823685462662185;84.3995499971788;0.00812584;
;71;85.6027166673448;10.0351106284084;85.6027166673448;-0.008200253;85.6027166673448;0.000818668503438613;85.6027166673448;0.008215429;
;72;86.7993999982718;10.1475182913622;86.7993999982718;-0.008281606;86.7993999982718;0.000818045926270079;86.7993999982718;0.008301136;
;73;88.0030999984592;10.3117667821413;88.0030999984592;-0.008370047;88.0030999984592;0.000813488238943476;88.0030999984592;0.008388501;
;74;89.2027833382599;10.4322515737776;89.2027833382599;-0.008449413;89.2027833382599;0.000811589036184846;89.2027833382599;0.008466701;
;75;90.4075000004377;10.5738252554753;90.4075000004377;-0.008527873;90.4075000004377;0.000807762355972096;90.4075000004377;0.008541138;
;76;91.6117833286989;10.6970456067061;91.6117833286989;-0.008597272;91.6117833286989;0.000804976188434847;91.6117833286989;0.008610867;
;77;92.8087999974377;10.810481733082;92.8087999974377;-0.008665364;92.8087999974377;0.000802470251945638;92.8087999974377;0.00867509;
