Measurement
;BCTZ_16cikel za lukata loceno
Graph
;Temp

Series
;Furnace temp  [°C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Furnace temp  [°C] Y-expression: $N15.ET
;Assigned to Axis: Temperature [°C]

;Furnace cooling  [°C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Furnace cooling  [°C] Y-expression: $N16.ET
;Assigned to Axis: Temperature [°C]

;Average (TCT+TCC)/2 X-expression: $N11.TM
;Assigned to Axis: time [min]
;Average (TCT+TCC)/2 Y-expression: (TCS($N8.MV.TT2($N6.M2))+TCS($N7.MV.TT2($N6.M2)))/2
;Assigned to Axis: Temperature [°C]

;TCT  [°C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;TCT  [°C] Y-expression: TCS($N7.MV.TT2($N6.M2))
;Assigned to Axis: Temperature [°C]

;TCC (B)  [°C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;TCC (B)  [°C] Y-expression: TCS($N8.MV.TT2($N6.M2))
;Assigned to Axis: Temperature [°C]

Data
;Index;X data for Furnace temp  [°C];Y data for Furnace temp  [°C];X data for Furnace cooling  [°C];Y data for Furnace cooling  [°C];X data for Average (TCT+TCC)/2;Y data for Average (TCT+TCC)/2;X data for TCT  [°C];Y data for TCT  [°C];X data for TCC (B)  [°C];Y data for TCC (B)  [°C];
;0;0;22.7016162872314;0;0;660.092716666404;23.0431518996075;660.092716666404;23.0972547439274;660.092716666404;22.9890490552876;
;1;0.109233339317143;22.7062091827393;0.109233339317143;0;661.043900004588;23.0666426357543;661.043900004588;23.1108763300532;661.043900004588;23.0224089414553;
;2;0.168116670101881;22.7112464904785;0.168116670101881;0;661.993866667617;23.022985975885;661.993866667617;23.0620845433443;661.993866667617;22.9838874084256;
;3;0.226216670125723;22.7026596069336;0.226216670125723;0;662.943483333802;23.0202247600165;662.943483333802;23.0670137709076;662.943483333802;22.9734357491254;
;4;0.284300000639632;22.698860168457;0.284300000639632;0;663.893033332424;23.006816438108;663.893033332424;23.0484694278993;663.893033332424;22.9651634483168;
;5;0.343183341901749;22.6991214752197;0.343183341901749;0;664.845250002109;23.0150190123864;664.845250002109;23.0905383000768;664.845250002109;22.939499724696;
;6;0.401000002166256;22.7026424407959;0.401000002166256;0;665.795899999794;23.0282270980858;665.795899999794;23.071659698765;665.795899999794;22.9847944974067;
;7;0.459116671700031;22.702522277832;0.459116671700031;0;666.747750003124;23.0362067675318;666.747750003124;23.0696515486155;666.747750003124;23.0027619864482;
;8;0.515866671921685;22.6965198516846;0.515866671921685;0;667.69764999859;22.9810869870466;667.69764999859;23.0007906223143;667.69764999859;22.9613833517788;
;9;0.572350001893938;22.7000732421875;0.572350001893938;0;668.648783338722;23.0018805860431;668.648783338722;23.0215305065353;668.648783338722;22.9822306655509;
;10;0.630666674114764;22.710750579834;0.630666674114764;0;669.598950004438;22.9909921794273;669.598950004438;23.0683378457887;669.598950004438;22.913646513066;
;11;0.689000005368143;22.7003402709961;0.689000005368143;0;670.549133339664;23.0265813090499;670.549133339664;23.0446255996305;670.549133339664;23.0085370184694;
;12;0.747616665903479;22.7004985809326;0.747616665903479;0;671.501416666433;22.9897806855855;671.501416666433;23.0461170843852;671.501416666433;22.9334442867857;
;13;0.805400008102879;22.7058506011963;0.805400008102879;0;672.451533334097;23.0005604550614;672.451533334097;23.0219562142404;672.451533334097;22.9791646958824;
;14;0.863999999128282;22.6994800567627;0.863999999128282;0;673.399183333386;23.0143111656604;673.399183333386;23.048550635978;673.399183333386;22.9800716953427;
;15;0.92208334011957;22.7016773223877;0.92208334011957;0;674.349550001789;23.0079170862052;674.349550001789;23.0703055658413;674.349550001789;22.9455286065692;
;16;0.980966670904309;22.7012958526611;0.980966670904309;0;675.299183337484;22.9911263426731;675.299183337484;23.0512006605875;675.299183337484;22.9310520247588;
;17;1.03903333190829;22.701452255249;1.03903333190829;0;676.250633335439;22.9891224923308;676.250633335439;23.0629187929124;676.250633335439;22.9153261917493;
;18;1.097650002921;22.704761505127;1.097650002921;0;677.200250001624;22.9890373846209;677.200250001624;23.0569925136527;677.200250001624;22.9210822555891;
;19;1.15441667265259;22.6999492645264;1.15441667265259;0;678.150383338798;22.9931903306761;678.150383338798;23.0170928230035;678.150383338798;22.9692878383487;
;20;1.21221667388454;22.7030391693115;1.21221667388454;0;679.099666667171;23.0011368819782;679.099666667171;23.0240373871891;679.099666667171;22.9782363767672;
;21;1.27030000439845;22.7028484344482;1.27030000439845;0;680.049266674323;23.0043615752;680.049266674323;23.0039887236096;680.049266674323;23.0047344267904;
;22;1.3267833343707;22.6951713562012;1.3267833343707;0;681.000799998874;23.026786897038;681.000799998874;23.0737584575107;681.000799998874;22.9798153365654;
;23;1.38353333459236;22.6966743469238;1.38353333459236;0;681.950650006765;23.0015816052907;681.950650006765;23.0066460493516;681.950650006765;22.9965171612298;
;24;1.44000000553206;22.7138214111328;1.44000000553206;0;682.900300001493;23.0081897286452;682.900300001493;23.000572061733;682.900300001493;23.0158073955574;
;25;1.49861666606739;22.7058715820313;1.49861666606739;0;683.850183337927;23.0257154317322;683.850183337927;23.0276763846548;683.850183337927;23.0237544788095;
;26;1.55698333634064;22.7054328918457;1.55698333634064;0;684.800300005591;23.0048239622939;684.800300005591;23.0210867374098;684.800300005591;22.988561187178;
;27;1.61481666611508;22.7002944946289;1.61481666611508;0;685.751533341827;23.0422662171975;685.751533341827;23.0584744694079;685.751533341827;23.0260579649871;
