Measurement
;BCTZ_16cikel za lukata loceno
Graph
;Keysiht MC

Series
;R (+1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (+1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance

;Electrometer avg [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Electrometer avg [Ohm] Y-expression: ($N12.DF3+$N13.DF3)/2
;Assigned to Axis: Resistance

;R (-1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (-1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance

Data
;Index;X data for R (+1V) [Ohm];Y data for R (+1V) [Ohm];X data for Electrometer avg [Ohm];Y data for Electrometer avg [Ohm];X data for R (-1V) [Ohm];Y data for R (-1V) [Ohm];
;15;674.349550001789;564971751412.429;674.349549991311;613611703520.784;674.349550001789;662251655629.139;
;16;675.299183337484;215517241379.31;675.299183337484;178082108734.662;675.299183337484;140646976090.014;
;17;676.250633335439;117924528301.887;676.250633241143;-101294146105.467;676.250633335439;-320512820512.82;
;18;677.200250001624;4761904761904.76;677.200249875896;2120535714285.71;677.200250001624;-520833333333.333;
;19;678.150383338798;-518134715025.907;678.150383328321;-188545495735.802;678.150383338798;141043723554.302;
;20;679.099666667171;-161290322580.645;679.099666614784;5118132020.1405;679.099666667171;171526586620.926;
;21;680.049266674323;287356321839.08;680.049266695278;-232261688704.52;680.049266674323;-751879699248.12;
;22;681.000799998874;800000000000;681.000799967442;461274509803.922;681.000799998874;122549019607.843;
;23;681.950650006765;1315789473684.21;681.950649891514;1022858240491.74;681.950650006765;729927007299.27;
;24;682.900300001493;112612612612.613;682.900299938628;-64466640553.597;682.900300001493;-241545893719.807;
;25;683.850183337927;-1190476190476.19;683.850183264585;-1228149487643.16;683.850183337927;-1265822784810.13;
;26;684.800300005591;-138121546961.326;684.800300016068;5566092190.979;684.800300005591;149253731343.284;
;27;685.751533341827;-877192982456.14;685.751533352304;-198211875843.454;685.751533341827;480769230769.231;
;28;686.701416667784;-636942675159.236;686.701416678261;-229344777864.823;686.701416667784;178253119429.59;
;29;687.650783333229;632911392405.063;687.650783333229;365619904658.775;687.650783333229;98328416912.4877;
;30;688.602516670944;235849056603.774;688.602516629035;63694593377.809;688.602516670944;-108459869848.156;
;31;689.552150006639;-113378684807.256;689.552149975207;222640266534.919;689.552150006639;558659217877.095;
;32;690.501849999418;-299401197604.79;690.501849988941;-56067640000.897;690.501849999418;187265917602.996;
;33;691.45170000731;227790432801.822;691.451699913014;52166821339.1825;691.45170000731;-123456790123.457;
;34;692.418866670923;-123915737298.637;692.418866691878;-500554359877.388;692.418866670923;-877192982456.14;
;35;693.368483337108;-66577896138.482;693.368483337108;-110330550534.572;693.368483337108;-154083204930.663;
;36;694.318150001345;179533213644.524;694.318149938481;148109663998.458;694.318150001345;116686114352.392;
;37;695.269866669551;-101626016260.163;695.269866680028;1085550628233.55;695.269866669551;2272727272727.27;
;38;696.217633334454;207900207900.208;696.217633344932;289823709898.06;696.217633334454;371747211895.911;
;39;697.17121667345;398406374501.992;697.171216610586;341248641796.45;697.17121667345;284090909090.909;
;40;698.122550005792;4347826086956.52;698.122550016269;2271378930417.83;698.122550005792;194931773879.142;
;41;699.070349999238;-279329608938.547;699.070349957328;-189317237438.489;699.070349999238;-99304865938.431;
;42;700.018383334391;-413223140495.868;700.018383313436;-150178161670.056;700.018383334391;112866817155.756;
;43;700.969566672575;115340253748.558;700.969566672575;10366437186.4834;700.969566672575;-94607379375.5913;
;44;701.91788333701;259740259740.26;701.917883284623;234912146676.853;701.91788333701;210084033613.445;
;45;702.865550005809;-279329608938.547;702.865550016286;-194369399655.269;702.865550005809;-109409190371.991;
;46;703.816000000807;476190476190.476;703.815999990329;287114845938.375;703.816000000807;98039215686.2745;
;47;704.765316668199;175438596491.228;704.765316678677;50489216339.4338;704.765316668199;-74460163812.3604;
;48;705.718750002561;-143472022955.524;705.71874988731;889802450060.698;705.718750002561;1923076923076.92;
;49;706.666783337714;-287356321839.08;706.666783253895;-96992820116.5522;706.666783337714;93370681605.9757;
;50;707.616633335128;-210526315789.474;707.616633314174;-246906217384.822;707.616633335128;-283286118980.17;
;51;708.565950002521;-151057401812.689;708.565950002521;-9652548073.67;708.565950002521;131752305665.349;
;52;709.520066671539;378787878787.879;709.520066640107;1022727272727.27;709.520066671539;1666666666666.67;
;53;710.470983339474;-606060606060.606;710.470983318519;-404450181326.449;710.470983339474;-202839756592.292;
;54;711.418716665357;-574712643678.161;711.418716581538;-343853496980.323;711.418716665357;-112994350282.486;
;55;712.366799998563;-3448275862068.97;712.366799904266;-1683288257831.87;712.366799998563;81699346405.2288;
;56;713.316950005246;-87336244541.4847;713.316949921427;-155275265127.885;713.316950005246;-223214285714.286;
;57;714.266583340941;-132450331125.828;714.266583267599;7088617428.2885;714.266583340941;146627565982.405;
;58;715.218233341584;75872534142.6404;715.218233331107;69363042684.1423;715.218233341584;62853551225.6442;
;59;716.167583337519;-95419847328.2443;716.167583285132;-8799417827.5463;716.167583337519;77821011673.1517;
;60;717.117433334934;155763239875.389;717.117433345411;8340590730.46201;717.117433334934;-139082058414.465;
;61;718.066849998431;-1515151515151.52;718.066849977476;-850859339665.312;718.066849998431;-186567164179.104;
;62;719.014833335532;-144927536231.884;719.014833220281;117650300325.123;719.014833335532;380228136882.129;
